GeneID	GSM4946181	GSM4946182	GSM4946183	GSM4946184	GSM4946185	GSM4946186	GSM4946187	GSM4946188	GSM4946189	GSM4946190	GSM4946191	GSM4946192	GSM4946193	GSM4946194	GSM4946195	GSM4946196	GSM4946197	GSM4946198	GSM4946199	GSM4946200	GSM4946201	GSM4946202
100287102	3	5	3	0	25	2	3	1	1	0	1	0	2	2	1	1	1	3	2	1	11	3
653635	319	390	276	339	357	287	379	343	522	214	379	342	344	706	375	351	575	356	919	597	532	305
102466751	15	9	5	8	7	8	8	12	15	5	14	11	21	42	15	24	25	23	34	32	26	17
107985730	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	22	34	43	20	77	32	57	41	42	10	7	25	26	47	18	40	24	81	33	15	44	74
729737	218	78	502	133	330	132	133	233	481	275	78	414	176	953	1347	428	80	2986	432	871	410	1421
102725121	0	2	2	0	27	1	2	0	0	0	5	0	2	4	0	1	1	1	2	0	14	2
102723897	281	394	210	378	469	282	421	420	695	191	402	394	374	654	495	455	615	389	779	613	501	387
102465909	8	7	3	5	10	6	4	6	10	1	7	4	9	17	9	8	12	13	14	18	18	9
107985721	1	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0
112268260	10	34	43	13	41	14	25	12	22	7	14	24	15	11	12	24	21	24	7	9	17	39
729759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
100132287	131	91	252	144	208	137	176	210	190	141	133	179	77	350	590	231	113	813	170	335	209	426
105378947	0	2	3	5	2	0	2	5	3	2	8	0	0	3	2	5	4	3	1	2	2	3
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	1089	1582	1680	1789	500	1290	888	589	3240	276	431	576	446	478	518	233	228	873	1529	326	277	221
81399	8	2	6	1	13	4	8	1	11	2	2	3	1	6	2	9	2	8	2	2	3	2
100133331	132	95	234	163	202	168	179	224	178	142	176	176	100	323	542	211	153	522	149	247	184	348
107984841	22	23	24	30	38	43	25	48	21	15	23	12	13	49	40	24	19	43	23	43	62	64
107984847	36	21	19	21	38	49	25	72	26	17	20	24	5	69	46	45	37	81	28	74	67	84
107984849	15	5	8	5	6	9	5	26	10	5	6	9	4	35	19	19	9	39	10	40	24	27
100288069	44	35	50	29	35	44	85	67	15	13	22	32	15	34	21	20	25	31	30	33	55	29
105378580	20	27	11	13	14	14	27	31	24	4	10	1	3	29	10	6	13	18	11	20	12	9
400728	4	8	6	7	3	8	7	9	4	3	7	2	4	4	6	0	5	3	1	6	14	2
79854	39	26	6	5	6	9	24	15	31	16	17	6	25	43	25	34	49	20	33	15	13	10
643837	205	666	256	148	200	252	234	266	672	335	412	161	150	357	142	224	353	115	149	176	167	121
107984850	1	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0
